Intitulé,Entreprise,Lien,Secteur,Type de contrat,Lieu,Deadline
SALES AND MARKETING INTERNSHIP,UWACO Cameroon PLC,https://doopin.net/xAFJK?dref=doojobs,Publicité - Marketing,Stage Académique,Lieu,2024-04-30
Représentant / Ambassadeur,Help Consulting Inetrnational,https://doopin.net/BrxOf?dref=doojobs,Publicité - Marketing,Commission,Buea,2024-06-11
Distributeurs/Distributors,PERFECT GARDEN ENTREPRENEURIAL SERVICES,https://doopin.net/DCxGX?dref=doojobs,Commerce - Vente - Distribution,Permanent/CDI,Biyem-Assi,2024-04-20
RÉCEPTIONNISTE/NIGHT AUDITOR,SAFYAD HÔTEL,https://doopin.net/dNHRS?dref=doojobs,Hôtellerie - Restauration,Non spécifé,Yaoundé,2024-04-15
TRADE OFFICER,CAMFOOD SARL,https://doopin.net/Esljj?dref=doojobs,Publicité - Marketing,Non spécifé,Lieu,2024-04-18
Stage subventionné – PPI,DÉLÉGATION DE L'UNION EUROPÉENNE EN RÉPUBLIQUE DU CAMEROUN ET POUR LA GUINÉE EQUATORIALE,https://doopin.net/gPszo?dref=doojobs,Droit - Justice,Stage Professionnel,Yaoundé,2024-04-10
An Administrative Secretary,Vishi Holdings,https://doopin.net/zkpMh?dref=doojobs,Secrétaire - Assistant(e),Permanent/CDI,Douala,2024-04-15
SALES AND MARKETING INTERNSHIP,UWACO Cameroon PLC,https://doopin.net/xAFJK?dref=doojobs,Publicité - Marketing,Stage Académique,Lieu,2024-04-30
Représentant / Ambassadeur,Help Consulting Inetrnational,https://doopin.net/BrxOf?dref=doojobs,Publicité - Marketing,Commission,Buea,2024-06-11
Analyste Financier Senior,PwC,https://doopin.net/ltmdy?dref=doojobs,Banque - Finance,Non spécifé,Douala,2024-04-12
Stagiaire Gouvernance,AGENCE FRANÇAISE DE DÉVELOPPEMENT EN AFRIQUE CENTRALE (AFD),https://doopin.net/UEaZW?dref=doojobs,Gestion de Projets,Stage Professionnel,Yaoundé,2024-04-15
JURISTE D'ENTREPRISE,NCL Unlimited,https://doopin.net/bQilk?dref=doojobs,Droit - Justice,Non spécifé,Yaoundé,2024-04-10
Chargé clientèle sénior,FOCEP SA,https://doopin.net/IeSEb?dref=doojobs,Commerce - Vente - Distribution,Permanent/CDI,Yaoundé,2024-04-21
Assistant(e) de direction H/F,AKBUSINESS,https://doopin.net/BwHXu?dref=doojobs,Secrétaire - Assistant(e),Stage Professionnel,Douala,2024-04-30
RECRUTEMENT MASSIF: 63 POSTES DISPONIBLES,"ASSOCIATION POUR LA PROMOTION DE EMPLOI, DE LA CRÉATIVITÉ ET DE L'INNOVATION (APECRIN)",https://doopin.net/GQtHF?dref=doojobs,Administration,Non spécifé,Yaoundé,2024-04-15
Responsable Technique - Ingénieur Génie civil – Douala,Quigleys Group,https://doopin.net/tLRJQ?dref=doojobs,Architecte - BTP - Urbanisme - Mines,Permanent/CDI,Douala - Cameroun,2024-04-30
SALES AND MARKETING INTERNSHIP,UWACO Cameroon PLC,https://doopin.net/xAFJK?dref=doojobs,Publicité - Marketing,Stage Académique,Lieu,2024-04-30
Représentant / Ambassadeur,Help Consulting Inetrnational,https://doopin.net/BrxOf?dref=doojobs,Publicité - Marketing,Commission,Buea,2024-06-11
Prestataires de Services,FLORE SERVICES,https://doopin.net/sEZJL?dref=doojobs,Administration,Non spécifé,Akwa,2024-04-10
STAGE EN SECRETARIAT COMPTABLE,MindUp Digital,https://doopin.net/ZlsEn?dref=doojobs,Comptabilité - Gestion,Stage Professionnel,Ndogbong,2024-04-06
Technicien réseau /télécoms,GLOBAL SECURITY SYSTEM,https://doopin.net/OEtEv?dref=doojobs,Informatique - Electronique - Numérique,Temporaire/CDD,Zone Industrielle Magzi Bassa,2024-04-06
Community manager,MindUp Digital,https://doopin.net/QRXkb?dref=doojobs,Internet - Web,Stage Professionnel,Ndogbong,2024-04-07
Secretary / Office Assistant,MAGISHA GROUP LTD,https://doopin.net/dSTTo?dref=doojobs,Administration,Non spécifé,Yaoundé,2024-04-05
SALES AND MARKETING INTERNSHIP,UWACO Cameroon PLC,https://doopin.net/xAFJK?dref=doojobs,Publicité - Marketing,Stage Académique,Lieu,2024-04-30
Représentant / Ambassadeur,Help Consulting Inetrnational,https://doopin.net/BrxOf?dref=doojobs,Publicité - Marketing,Commission,Buea,2024-06-11
Conseiller en assurances,SANLAM LIFE INSURANCE CAMEROUN,https://doopin.net/XGHPI?dref=doojobs,Assurance,Autres,Bafoussam,2024-04-30
Recrutement des commerciaux,Init Acquisition,https://doopin.net/gdstc?dref=doojobs,Commerce - Vente - Distribution,Temps-Partiel,Johnkalassi@gmail.com,2024-04-30
Offre d'emploi pour Magasinier,MindUp Digital,https://doopin.net/ikASm?dref=doojobs,Transport - Logistique,Non spécifé,Bonamoussadi Sable,2024-04-05
RECRUTEMENT,ETS KAP,https://doopin.net/ZpxvQ?dref=doojobs,Commerce - Vente - Distribution,Permanent/CDI,Yaoundé,2024-04-10
SALES AND MARKETING INTERNSHIP,UWACO Cameroon PLC,https://doopin.net/xAFJK?dref=doojobs,Publicité - Marketing,Stage Académique,Lieu,2024-04-30
Représentant / Ambassadeur,Help Consulting Inetrnational,https://doopin.net/BrxOf?dref=doojobs,Publicité - Marketing,Commission,Buea,2024-06-11
ADJOINT.E RESPONSABLE DEPARTEMENT FINANCE H/F,Action Contre la Faim,https://doopin.net/iqmNl?dref=doojobs,Comptabilité - Gestion,Non spécifé,Yaoundé,2024-04-04
